id,suite,title,severity,priority,type,preconditions,steps,expected_result,post_actions,data,attachments,status,related_e2
EP-CU01-01,CU-01 Abrir ticket,Reportante crea incidente crítico con adjunto,critical,high,Camino feliz,"Ambiente ENT-004 staging operativo; reportante1@galileo.gt con rol Reportante; bucket S3 accesible; archivo captura.png subido vía URL prefirmada","1. POST /auth/login y obtener JWT | 2. POST /tickets con el body indicado en Data | 3. Capturar el id devuelto | 4. GET /tickets/{id} | 5. GET /tickets/{id}/history","201 Created con id TKT-XXXX, estado Abierto, createdAt UTC; GET retorna attachmentKeys poblado; historial con un único evento TICKET_CREATED","Anotar TKT-XXXX en log del run; programar limpieza del adjunto en próximo re-seed; registrar resultado en Qase","tipo=Incidente, severidad=Crítica, titulo=""API caída en prod"", descripcion=""HTTP 503 en /v1/orders desde 14:32 UTC"", attachmentKeys=[""tickets/2026/05/captura.png""]",docs/mockups/03_crear_incidente.png,Not executed,"TI-001, TI-006, TI-009, TUAT-001, TE2E-001"
EP-CU01-02,CU-01 Abrir ticket,Crear ticket sin título devuelve 400,high,high,Error controlado,"Ambiente ENT-004 staging; reportante autenticado con JWT válido","1. Obtener JWT del reportante | 2. POST /tickets con el body del campo Data | 3. Leer código y body","400 Bad Request con code=VALIDATION_ERROR y detalle field=titulo reason=REQUIRED; ningún registro en RDS","Verificar que no quedó ticket huérfano; registrar en Qase","{ tipo: Incidente, severidad: Alta, descripcion: ""Pruebas de validación"" } (sin titulo)",docs/mockups/03_crear_incidente.png,Not executed,"TI-003, TU-013"
EP-CU01-03,CU-01 Abrir ticket,Idempotencia: doble POST con misma Idempotency-Key,high,high,Borde,"Ambiente ENT-004 staging; reportante autenticado; UUID idempotency key generado","1. Primer POST /tickets con header Idempotency-Key | 2. Capturar id devuelto (201) | 3. Segundo POST con mismo body y mismo header | 4. Comparar id y código | 5. GET /tickets/{id}/history","Primer POST devuelve 201 con id=TKT-N; segundo POST devuelve 200 con id=TKT-N (mismo); historial con exactamente un evento TICKET_CREATED","Limpiar ticket en próximo re-seed; documentar Idempotency-Key usado; registrar en Qase","Cuerpo idéntico en ambos POST: { tipo: Incidente, severidad: Media, titulo: ""Idempotencia E3"", descripcion: ""Verificación de Idempotency-Key"" }; header Idempotency-Key: e3-cu01-03-<timestamp>",,Not executed,TI-007
EP-CU02-01,CU-02 Clasificar y asignar,Agente toma ticket de la cola priorizada,critical,high,Camino feliz,"Ambiente ENT-004 staging; TKT-0042 Incidente Crítico Abierto sin assignee; al menos 3 tickets menores Abiertos; agente1@galileo.gt con rol Agente; cola SQS notifications-queue monitoreada","1. Login del agente; obtener JWT | 2. GET /tickets?orderBy=prioridad&direction=desc&limit=10 | 3. Verificar que TKT-0042 está en primera posición | 4. POST /tickets/TKT-0042/assign con assigneeId=self | 5. GET /tickets/TKT-0042 | 6. Consumir SQS o revisar Mailpit por 30s","TKT-0042 en pos 1; assign devuelve 200; ticket pasa a EnProgreso con assignee=agente1; un mensaje en SQS con eventType=TICKET_ASSIGNED al reportante con nombre del agente","Revertir ticket a Abierto y desasignar; drenar SQS si quedó algo; registrar en Qase","JWT agente1; body assign: { assigneeId: ""agente1@galileo.gt"" }",docs/mockups/02_cola_tickets.png,Not executed,"TI-040, TUAT-002, TE2E-002"
EP-CU02-02,CU-02 Clasificar y asignar,Reportante NO puede asignar (RBAC denegado),critical,high,Error controlado / RBAC,"Ambiente ENT-004 staging; TKT-0050 Incidente Alta Abierto sin assignee; reportante2@galileo.gt con rol Reportante","1. Login del reportante; obtener JWT | 2. POST /tickets/TKT-0050/assign con assigneeId=self | 3. Leer código y body | 4. GET /tickets/TKT-0050","403 Forbidden con código ROLE_NOT_ALLOWED (role=Reportante, action=assign); ticket sigue Abierto sin assignee; sin evento en ticket_events","Confirmar en CloudWatch que se loguea el intento denegado; registrar en Qase","JWT reportante2; cuerpo: { assigneeId: ""reportante2@galileo.gt"" }",,Not executed,"TI-024, TU-007, TSEC RBAC"
EP-CU02-03,CU-02 Clasificar y asignar,Reasignación A→B notifica a ambos agentes,medium,medium,Borde,"Ambiente ENT-004 staging; TKT-0060 Incidente Alta EnProgreso asignado a agenteA; existe agenteB; admin1 con rol Administrador","1. Login del admin | 2. POST /tickets/TKT-0060/assign con assigneeId=agenteB | 3. GET /tickets/TKT-0060/history y verificar último evento | 4. Consumir SQS 30s | 5. Verificar bandejas Mailpit de A y B","assign 200 con assignee=agenteB; último evento TICKET_REASSIGNED con from=A to=B reason actor=admin1; DOS mensajes en SQS uno por agente; ambos agentes reciben email distinto","Drenar Mailpit; reasignar de vuelta a A para re-ejecución; registrar en Qase","JWT admin; cuerpo: { assigneeId: ""agenteB@galileo.gt"", reason: ""Rotación de turno"" }",,Not executed,TI-043
EP-CU03-01,CU-03 Resolver,Agente resuelve ticket con causa raíz y solución,critical,high,Camino feliz,"Ambiente ENT-004 staging; TKT-0070 Incidente Crítico EnProgreso assignee=agente1; agente autenticado; cola SQS monitoreada","1. PATCH /tickets/TKT-0070/state con body del campo Data | 2. GET /tickets/TKT-0070 | 3. GET /tickets/TKT-0070/history | 4. Verificar Mailpit por email al reportante","200 OK; estado Resuelto con causaRaiz y solucionAplicada persistidos; último evento RESOLVED con autor timestamp UTC y campos; email subject [TKT-0070] Resuelto","Crear nuevo ticket en EnProgreso si se quiere re-ejecutar; drenar Mailpit; registrar en Qase","JWT agente1; cuerpo: { estado: Resuelto, causaRaiz: ""Memoria saturada en pod orders-api"", solucionAplicada: ""Reinicio + ajuste de limits a 1Gi"", tiempoResolucionMin: 47 }",docs/mockups/05_detalle_resolucion.png,Not executed,"TI-022, TUAT-003, TE2E-003, TU-016"
EP-CU03-02,CU-03 Resolver,Resolución sin causa raíz devuelve 422,critical,high,Error controlado,"Ambiente ENT-004 staging; TKT-0071 Incidente Media EnProgreso assignee=agente1","1. PATCH /tickets/TKT-0071/state con body del campo Data | 2. Leer código y body | 3. GET /tickets/TKT-0071","422 Unprocessable Entity con code=MISSING_RESOLUTION_FIELDS y lista [causaRaiz, solucionAplicada]; ticket sigue EnProgreso; sin evento RESOLVED","Registrar en Qase; dejar ticket en EnProgreso para re-uso","JWT agente1; cuerpo: { estado: Resuelto } (sin causaRaiz ni solucionAplicada)",docs/mockups/05_detalle_resolucion.png,Not executed,"TI-021, TU-016"
EP-CU03-03,CU-03 Resolver,Transición ilegal Abierto→Resuelto,high,high,Borde,"Ambiente ENT-004 staging; TKT-0072 Incidente Alta Abierto assignee=agente1","1. PATCH /tickets/TKT-0072/state con body del campo Data | 2. Leer código y body | 3. GET /tickets/TKT-0072","409 Conflict con code=ILLEGAL_STATE_TRANSITION, from=Abierto, to=Resuelto, allowedTransitions=[EnProgreso]; ticket sigue Abierto","Registrar en Qase; dejar el ticket en Abierto","JWT agente1; cuerpo: { estado: Resuelto, causaRaiz: ""X"", solucionAplicada: ""Y"" }",,Not executed,TI-023
EP-CU04-01,CU-04 Escalamiento SLA,SLA vencido eleva ticket L1 a L2,critical,high,Camino feliz,"Ambiente ENT-004 staging; TKT-0080 Incidente Crítico creado hace 16 min sin actividad nivel=L1; agente1 asignado; SLA Incidente Crítico = 15 min; EventBridge Scheduler sla-escalation-job habilitado","1. Verificar createdAt vs now | 2. Disparar job (manual o esperar ciclo) | 3. GET /tickets/TKT-0080 | 4. GET /tickets/TKT-0080/history | 5. Revisar Mailpit del agente y admin","nivel=L2; último evento ESCALATED con from=L1 to=L2 reason=SLA_EXPIRED slaConfiguredMin=15 elapsedMin>=16 actor=system; email a agente y admin con subject [TKT-0080] Escalado a L2 por SLA","Re-crear ticket con timestamp ajustado para próximo run; drenar Mailpit; registrar en Qase","Trigger manual del job vía aws scheduler invoke",docs/mockups/07_escalamiento_sla.png,Not executed,"TI-103, TUAT-004, TE2E-004, TU-004, TU-005"
